"Date","Price","Open","High","Low","Vol.","Change %"
"07-05-2021","302.75","303.00","305.95","300.50","41.59M","0.50%"
"06-05-2021","301.25","291.50","302.00","290.30","45.03M","3.34%"
"05-05-2021","291.50","293.50","293.90","288.50","29.35M","0.71%"
"04-05-2021","289.45","296.35","299.75","288.05","38.64M","-1.21%"
"03-05-2021","293.00","289.30","294.75","285.00","35.38M","-0.29%"
"30-04-2021","293.85","298.20","301.30","292.55","36.12M","-2.67%"
"29-04-2021","301.90","308.90","310.00","301.25","36.65M","-1.31%"
"28-04-2021","305.90","303.50","309.50","303.00","44.67M","1.46%"
"27-04-2021","301.50","295.70","302.50","295.10","35.04M","2.06%"
"26-04-2021","295.40","297.00","299.00","294.60","30.58M","0.48%"
"23-04-2021","294.00","291.00","300.00","290.50","58.16M","-0.19%"
"22-04-2021","294.55","294.00","302.50","292.20","61.02M","-1.17%"
"20-04-2021","298.05","307.70","308.15","294.20","56.74M","-1.11%"
"19-04-2021","301.40","295.00","304.50","292.80","65.79M","-2.77%"
"16-04-2021","310.00","302.00","315.00","300.15","75.33M","2.14%"
"15-04-2021","303.50","303.00","307.55","296.50","75.26M","0.21%"
"13-04-2021","302.85","287.25","304.55","280.55","116.87M","5.69%"
"12-04-2021","286.55","307.85","307.85","282.90","105.34M","-9.95%"
"09-04-2021","318.20","313.20","325.00","312.50","75.46M","1.35%"
"08-04-2021","313.95","307.90","319.80","307.50","62.46M","2.00%"
"07-04-2021","307.80","306.75","310.65","305.10","39.07M","0.02%"
"06-04-2021","307.75","306.15","313.80","304.80","63.03M","0.89%"
"05-04-2021","305.05","306.80","311.70","297.20","66.18M","-0.88%"
"01-04-2021","307.75","306.75","309.85","303.05","44.09M","1.97%"
"31-03-2021","301.80","299.00","307.50","297.50","58.57M","1.60%"
"30-03-2021","297.05","300.50","301.30","292.70","45.26M","0.22%"
"26-03-2021","296.40","290.50","301.40","290.50","80.92M","3.80%"
"25-03-2021","285.55","294.00","294.00","282.25","84.53M","-3.02%"
"24-03-2021","294.45","303.55","305.00","293.20","61.52M","-4.21%"
"23-03-2021","307.40","305.00","312.25","304.00","60.24M","1.44%"
"22-03-2021","303.05","306.45","307.50","300.10","56.39M","-1.91%"
"19-03-2021","308.95","303.50","311.00","290.20","109.93M","0.64%"
"18-03-2021","307.00","311.00","316.60","299.75","73.73M","0.39%"
"17-03-2021","305.80","318.60","320.00","304.00","47.26M","-4.42%"
"16-03-2021","319.95","321.00","321.90","315.10","39.27M","0.44%"
"15-03-2021","318.55","320.00","320.40","310.05","45.08M","0.31%"
